------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Fitter Resource Utilization by Entity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;
+---------------------------------------------------------------------------------+----------------------+----------------------------------+---------------------------------------------------+----------------------------------+----------------------+---------------------+---------------------------+---------------+-------------------+-------+------------+------+--------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+--------------+
; Compilation Hierarchy Node                                                      ; ALMs needed [=A-B+C] ; [A] ALMs used in final placement ; [B] Estimate of ALMs recoverable by dense packing ; [C] Estimate of ALMs unavailable ; ALMs used for memory ; Combinational ALUTs ; Dedicated Logic Registers ; I/O Registers ; Block Memory Bits ; M20Ks ; DSP Blocks ; Pins ; Virtual Pins ; Full Hierarchy Name                                                                                                                                                                                                                                         ; Entity Name     ; Library Name ;
+---------------------------------------------------------------------------------+----------------------+----------------------------------+---------------------------------------------------+----------------------------------+----------------------+---------------------+---------------------------+---------------+-------------------+-------+------------+------+--------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+--------------+
;             |Taps:\taps_inst:1:gen_i:geni_inst|                                 ; 21.2 (4.0)           ; 24.7 (5.8)                       ; 3.5 (1.8)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 35 (0)              ; 34 (12)                   ; 0 (0)         ; 660               ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:40:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:1:gen_i:geni_inst                                                                                     ; Taps            ; work         ;
;                |altshift_taps:cell_rtl_0|                                       ; 17.2 (0.0)           ; 18.8 (0.0)                       ; 1.7 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 35 (0)              ; 22 (0)                    ; 0 (0)         ; 660               ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:40:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:1:gen_i:geni_inst|altshift_taps:cell_rtl_0                                                            ; altshift_taps   ; work         ;
;                   |shift_taps_id41:auto_generated|                              ; 17.2 (6.9)           ; 18.8 (7.3)                       ; 1.7 (0.5)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 35 (13)             ; 22 (8)                    ; 0 (0)         ; 660               ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:40:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:1:gen_i:geni_inst|altshift_taps:cell_rtl_0|shift_taps_id41:auto_generated                             ; shift_taps_id41 ; work         ;
;                      |altsyncram_f0h1:altsyncram5|                              ; 0.0 (0.0)            ; 0.0 (0.0)                        ; 0.0 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 0 (0)               ; 0 (0)                     ; 0 (0)         ; 660               ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:40:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:1:gen_i:geni_inst|altshift_taps:cell_rtl_0|shift_taps_id41:auto_generated|altsyncram_f0h1:altsyncram5 ; altsyncram_f0h1 ; work         ;
;                      |cntr_r5h:cntr6|                                           ; 6.6 (6.6)            ; 7.5 (7.5)                        ; 0.9 (0.9)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 13 (13)             ; 7 (7)                     ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:40:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:1:gen_i:geni_inst|altshift_taps:cell_rtl_0|shift_taps_id41:auto_generated|cntr_r5h:cntr6              ; cntr_r5h        ; work         ;
;                      |cntr_ulf:cntr1|                                           ; 3.7 (3.7)            ; 4.0 (4.0)                        ; 0.3 (0.3)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 9 (9)               ; 7 (7)                     ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:40:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:1:gen_i:geni_inst|altshift_taps:cell_rtl_0|shift_taps_id41:auto_generated|cntr_ulf:cntr1              ; cntr_ulf        ; work         ;
;             |Taps:\taps_inst:2:gen_last:gen_last_inst|                          ; 4.0 (4.0)            ; 5.8 (5.8)                        ; 1.8 (1.8)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 0 (0)               ; 12 (12)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:40:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:2:gen_last:gen_last_inst                                                                              ; Taps            ; work         ;
;          |neighExtractor:\neighExtractor_gen:41:MULTI_CHANNEL:neighExtractor_i| ; 66.0 (17.2)          ; 84.6 (25.3)                      ; 18.6 (8.1)                                        ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 70 (0)              ; 146 (54)                  ; 0 (0)         ; 1320              ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:41:MULTI_CHANNEL:neighExtractor_i                                                                                                                       ; neighExtractor  ; work         ;
;             |Taps:\taps_inst:0:gen_1:gen1_inst|                                 ; 25.4 (8.1)           ; 30.7 (11.7)                      ; 5.3 (3.6)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 35 (0)              ; 46 (24)                   ; 0 (0)         ; 660               ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:41:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:0:gen_1:gen1_inst                                                                                     ; Taps            ; work         ;
;                |altshift_taps:cell_rtl_0|                                       ; 17.3 (0.0)           ; 19.0 (0.0)                       ; 1.7 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 35 (0)              ; 22 (0)                    ; 0 (0)         ; 660               ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:41:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:0:gen_1:gen1_inst|altshift_taps:cell_rtl_0                                                            ; altshift_taps   ; work         ;
;                   |shift_taps_id41:auto_generated|                              ; 17.3 (6.5)           ; 19.0 (7.0)                       ; 1.7 (0.5)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 35 (13)             ; 22 (8)                    ; 0 (0)         ; 660               ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:41:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:0:gen_1:gen1_inst|altshift_taps:cell_rtl_0|shift_taps_id41:auto_generated                             ; shift_taps_id41 ; work         ;
;                      |altsyncram_f0h1:altsyncram5|                              ; 0.0 (0.0)            ; 0.0 (0.0)                        ; 0.0 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 0 (0)               ; 0 (0)                     ; 0 (0)         ; 660               ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:41:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:0:gen_1:gen1_inst|altshift_taps:cell_rtl_0|shift_taps_id41:auto_generated|altsyncram_f0h1:altsyncram5 ; altsyncram_f0h1 ; work         ;
;                      |cntr_r5h:cntr6|                                           ; 6.4 (6.4)            ; 7.3 (7.3)                        ; 0.9 (0.9)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 13 (13)             ; 7 (7)                     ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:41:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:0:gen_1:gen1_inst|altshift_taps:cell_rtl_0|shift_taps_id41:auto_generated|cntr_r5h:cntr6              ; cntr_r5h        ; work         ;
;                      |cntr_ulf:cntr1|                                           ; 4.4 (4.4)            ; 4.7 (4.7)                        ; 0.3 (0.3)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 9 (9)               ; 7 (7)                     ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:41:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:0:gen_1:gen1_inst|altshift_taps:cell_rtl_0|shift_taps_id41:auto_generated|cntr_ulf:cntr1              ; cntr_ulf        ; work         ;
;             |Taps:\taps_inst:1:gen_i:geni_inst|                                 ; 19.3 (3.5)           ; 22.8 (5.3)                       ; 3.5 (1.8)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 35 (0)              ; 34 (12)                   ; 0 (0)         ; 660               ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:41:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:1:gen_i:geni_inst                                                                                     ; Taps            ; work         ;
;                |altshift_taps:cell_rtl_0|                                       ; 15.8 (0.0)           ; 17.4 (0.0)                       ; 1.7 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 35 (0)              ; 22 (0)                    ; 0 (0)         ; 660               ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:41:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:1:gen_i:geni_inst|altshift_taps:cell_rtl_0                                                            ; altshift_taps   ; work         ;
;                   |shift_taps_id41:auto_generated|                              ; 15.8 (6.4)           ; 17.4 (6.8)                       ; 1.7 (0.5)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 35 (13)             ; 22 (8)                    ; 0 (0)         ; 660               ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:41:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:1:gen_i:geni_inst|altshift_taps:cell_rtl_0|shift_taps_id41:auto_generated                             ; shift_taps_id41 ; work         ;
;                      |altsyncram_f0h1:altsyncram5|                              ; 0.0 (0.0)            ; 0.0 (0.0)                        ; 0.0 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 0 (0)               ; 0 (0)                     ; 0 (0)         ; 660               ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:41:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:1:gen_i:geni_inst|altshift_taps:cell_rtl_0|shift_taps_id41:auto_generated|altsyncram_f0h1:altsyncram5 ; altsyncram_f0h1 ; work         ;
;                      |cntr_r5h:cntr6|                                           ; 5.7 (5.7)            ; 6.6 (6.6)                        ; 0.9 (0.9)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 13 (13)             ; 7 (7)                     ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:41:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:1:gen_i:geni_inst|altshift_taps:cell_rtl_0|shift_taps_id41:auto_generated|cntr_r5h:cntr6              ; cntr_r5h        ; work         ;
;                      |cntr_ulf:cntr1|                                           ; 3.7 (3.7)            ; 4.0 (4.0)                        ; 0.3 (0.3)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 9 (9)               ; 7 (7)                     ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:41:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:1:gen_i:geni_inst|altshift_taps:cell_rtl_0|shift_taps_id41:auto_generated|cntr_ulf:cntr1              ; cntr_ulf        ; work         ;
;             |Taps:\taps_inst:2:gen_last:gen_last_inst|                          ; 4.0 (4.0)            ; 5.8 (5.8)                        ; 1.8 (1.8)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 0 (0)               ; 12 (12)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:41:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:2:gen_last:gen_last_inst                                                                              ; Taps            ; work         ;
;          |neighExtractor:\neighExtractor_gen:42:MULTI_CHANNEL:neighExtractor_i| ; 61.9 (15.6)          ; 80.5 (23.8)                      ; 18.6 (8.1)                                        ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 70 (0)              ; 146 (54)                  ; 0 (0)         ; 1320              ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:42:MULTI_CHANNEL:neighExtractor_i                                                                                                                       ; neighExtractor  ; work         ;
;             |Taps:\taps_inst:0:gen_1:gen1_inst|                                 ; 23.9 (8.0)           ; 29.2 (11.6)                      ; 5.3 (3.6)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 35 (0)              ; 46 (24)                   ; 0 (0)         ; 660               ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:42:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:0:gen_1:gen1_inst                                                                                     ; Taps            ; work         ;
;                |altshift_taps:cell_rtl_0|                                       ; 15.9 (0.0)           ; 17.6 (0.0)                       ; 1.7 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 35 (0)              ; 22 (0)                    ; 0 (0)         ; 660               ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:42:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:0:gen_1:gen1_inst|altshift_taps:cell_rtl_0                                                            ; altshift_taps   ; work         ;
;                   |shift_taps_id41:auto_generated|                              ; 15.9 (6.4)           ; 17.6 (6.8)                       ; 1.7 (0.5)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 35 (13)             ; 22 (8)                    ; 0 (0)         ; 660               ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:42:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:0:gen_1:gen1_inst|altshift_taps:cell_rtl_0|shift_taps_id41:auto_generated                             ; shift_taps_id41 ; work         ;
;                      |altsyncram_f0h1:altsyncram5|                              ; 0.0 (0.0)            ; 0.0 (0.0)                        ; 0.0 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 0 (0)               ; 0 (0)                     ; 0 (0)         ; 660               ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:42:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:0:gen_1:gen1_inst|altshift_taps:cell_rtl_0|shift_taps_id41:auto_generated|altsyncram_f0h1:altsyncram5 ; altsyncram_f0h1 ; work         ;
;                      |cntr_r5h:cntr6|                                           ; 5.3 (5.3)            ; 6.3 (6.3)                        ; 0.9 (0.9)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 13 (13)             ; 7 (7)                     ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:42:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:0:gen_1:gen1_inst|altshift_taps:cell_rtl_0|shift_taps_id41:auto_generated|cntr_r5h:cntr6              ; cntr_r5h        ; work         ;
;                      |cntr_ulf:cntr1|                                           ; 4.2 (4.2)            ; 4.5 (4.5)                        ; 0.3 (0.3)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 9 (9)               ; 7 (7)                     ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:42:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:0:gen_1:gen1_inst|altshift_taps:cell_rtl_0|shift_taps_id41:auto_generated|cntr_ulf:cntr1              ; cntr_ulf        ; work         ;
;             |Taps:\taps_inst:1:gen_i:geni_inst|                                 ; 18.4 (2.0)           ; 21.8 (3.8)                       ; 3.5 (1.8)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 35 (0)              ; 34 (12)                   ; 0 (0)         ; 660               ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:42:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:1:gen_i:geni_inst                                                                                     ; Taps            ; work         ;
;                |altshift_taps:cell_rtl_0|                                       ; 16.3 (0.0)           ; 18.0 (0.0)                       ; 1.7 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 35 (0)              ; 22 (0)                    ; 0 (0)         ; 660               ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:42:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:1:gen_i:geni_inst|altshift_taps:cell_rtl_0                                                            ; altshift_taps   ; work         ;
;                   |shift_taps_id41:auto_generated|                              ; 16.3 (6.9)           ; 18.0 (7.3)                       ; 1.7 (0.5)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 35 (13)             ; 22 (8)                    ; 0 (0)         ; 660               ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:42:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:1:gen_i:geni_inst|altshift_taps:cell_rtl_0|shift_taps_id41:auto_generated                             ; shift_taps_id41 ; work         ;
;                      |altsyncram_f0h1:altsyncram5|                              ; 0.0 (0.0)            ; 0.0 (0.0)                        ; 0.0 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 0 (0)               ; 0 (0)                     ; 0 (0)         ; 660               ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:42:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:1:gen_i:geni_inst|altshift_taps:cell_rtl_0|shift_taps_id41:auto_generated|altsyncram_f0h1:altsyncram5 ; altsyncram_f0h1 ; work         ;
;                      |cntr_r5h:cntr6|                                           ; 5.9 (5.9)            ; 6.8 (6.8)                        ; 0.9 (0.9)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 13 (13)             ; 7 (7)                     ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:42:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:1:gen_i:geni_inst|altshift_taps:cell_rtl_0|shift_taps_id41:auto_generated|cntr_r5h:cntr6              ; cntr_r5h        ; work         ;
;                      |cntr_ulf:cntr1|                                           ; 3.5 (3.5)            ; 3.8 (3.8)                        ; 0.3 (0.3)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 9 (9)               ; 7 (7)                     ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:42:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:1:gen_i:geni_inst|altshift_taps:cell_rtl_0|shift_taps_id41:auto_generated|cntr_ulf:cntr1              ; cntr_ulf        ; work         ;
;             |Taps:\taps_inst:2:gen_last:gen_last_inst|                          ; 3.9 (3.9)            ; 5.8 (5.8)                        ; 1.8 (1.8)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 0 (0)               ; 12 (12)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:42:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:2:gen_last:gen_last_inst                                                                              ; Taps            ; work         ;
;          |neighExtractor:\neighExtractor_gen:43:MULTI_CHANNEL:neighExtractor_i| ; 68.1 (18.2)          ; 86.7 (26.3)                      ; 18.6 (8.1)                                        ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 70 (0)              ; 146 (54)                  ; 0 (0)         ; 1320              ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:43:MULTI_CHANNEL:neighExtractor_i                                                                                                                       ; neighExtractor  ; work         ;
;             |Taps:\taps_inst:0:gen_1:gen1_inst|                                 ; 24.9 (7.6)           ; 30.2 (11.2)                      ; 5.3 (3.6)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 35 (0)              ; 46 (24)                   ; 0 (0)         ; 660               ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:43:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:0:gen_1:gen1_inst                                                                                     ; Taps            ; work         ;
;                |altshift_taps:cell_rtl_0|                                       ; 17.3 (0.0)           ; 19.0 (0.0)                       ; 1.7 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 35 (0)              ; 22 (0)                    ; 0 (0)         ; 660               ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:43:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:0:gen_1:gen1_inst|altshift_taps:cell_rtl_0                                                            ; altshift_taps   ; work         ;
;                   |shift_taps_id41:auto_generated|                              ; 17.3 (6.5)           ; 19.0 (7.0)                       ; 1.7 (0.5)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 35 (13)             ; 22 (8)                    ; 0 (0)         ; 660               ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:43:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:0:gen_1:gen1_inst|altshift_taps:cell_rtl_0|shift_taps_id41:auto_generated                             ; shift_taps_id41 ; work         ;
;                      |altsyncram_f0h1:altsyncram5|                              ; 0.0 (0.0)            ; 0.0 (0.0)                        ; 0.0 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 0 (0)               ; 0 (0)                     ; 0 (0)         ; 660               ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:43:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:0:gen_1:gen1_inst|altshift_taps:cell_rtl_0|shift_taps_id41:auto_generated|altsyncram_f0h1:altsyncram5 ; altsyncram_f0h1 ; work         ;
;                      |cntr_r5h:cntr6|                                           ; 6.6 (6.6)            ; 7.5 (7.5)                        ; 0.9 (0.9)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 13 (13)             ; 7 (7)                     ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:43:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:0:gen_1:gen1_inst|altshift_taps:cell_rtl_0|shift_taps_id41:auto_generated|cntr_r5h:cntr6              ; cntr_r5h        ; work         ;
;                      |cntr_ulf:cntr1|                                           ; 4.2 (4.2)            ; 4.5 (4.5)                        ; 0.3 (0.3)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 9 (9)               ; 7 (7)                     ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:43:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:0:gen_1:gen1_inst|altshift_taps:cell_rtl_0|shift_taps_id41:auto_generated|cntr_ulf:cntr1              ; cntr_ulf        ; work         ;
;             |Taps:\taps_inst:1:gen_i:geni_inst|                                 ; 20.7 (4.0)           ; 24.2 (5.8)                       ; 3.5 (1.8)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 35 (0)              ; 34 (12)                   ; 0 (0)         ; 660               ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:43:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:1:gen_i:geni_inst                                                                                     ; Taps            ; work         ;
;                |altshift_taps:cell_rtl_0|                                       ; 16.7 (0.0)           ; 18.3 (0.0)                       ; 1.7 (0.0)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 35 (0)              ; 22 (0)                    ; 0 (0)         ; 660               ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:43:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:1:gen_i:geni_inst|altshift_taps:cell_rtl_0                                                            ; altshift_taps   ; work         ;
;                   |shift_taps_id41:auto_generated|                              ; 16.7 (6.5)           ; 18.3 (7.0)                       ; 1.7 (0.5)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 35 (13)             ; 22 (8)                    ; 0 (0)         ; 660               ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|TensorExtractor:TensorExtractor_i|neighExtractor:\neighExtractor_gen:43:MULTI_CHANNEL:neighExtractor_i|Taps:\taps_inst:1:gen_i:geni_inst|altshift_taps:cell_rtl_0|shift_taps_id41:auto_generated                             ; shift_taps_id41 ; work         ;
