------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Fitter Resource Utilization by Entity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;
+---------------------------------------------------------------------------------+----------------------+----------------------------------+---------------------------------------------------+----------------------------------+----------------------+---------------------+---------------------------+---------------+-------------------+-------+------------+------+--------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+--------------+
; Compilation Hierarchy Node                                                      ; ALMs needed [=A-B+C] ; [A] ALMs used in final placement ; [B] Estimate of ALMs recoverable by dense packing ; [C] Estimate of ALMs unavailable ; ALMs used for memory ; Combinational ALUTs ; Dedicated Logic Registers ; I/O Registers ; Block Memory Bits ; M20Ks ; DSP Blocks ; Pins ; Virtual Pins ; Full Hierarchy Name                                                                                                                                                                                                                                         ; Entity Name     ; Library Name ;
+---------------------------------------------------------------------------------+----------------------+----------------------------------+---------------------------------------------------+----------------------------------+----------------------+---------------------+---------------------------+---------------+-------------------+-------+------------+------+--------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+--------------+
;          |MOA:MOA_i|                                                            ; 797.7 (797.7)        ; 1136.3 (1136.3)                  ; 338.6 (338.6)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 2275 (2275)         ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:110:DotProduct_i|MOA:MOA_i                                                                                                                                                                       ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:111:DotProduct_i|                            ; 1359.0 (0.0)         ; 1929.7 (0.0)                     ; 570.7 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 2271 (0)            ; 1661 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:111:DotProduct_i                                                                                                                                                                                 ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 579.9 (579.9)        ; 818.0 (818.0)                    ; 238.1 (238.1)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 36 (36)             ; 1643 (1643)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:111:DotProduct_i|MCM:MCM_i                                                                                                                                                                       ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 779.1 (779.1)        ; 1111.7 (1111.7)                  ; 332.6 (332.6)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 2235 (2235)         ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:111:DotProduct_i|MOA:MOA_i                                                                                                                                                                       ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:112:DotProduct_i|                            ; 1536.4 (0.0)         ; 1792.5 (0.0)                     ; 256.1 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 3592 (0)            ; 1706 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:112:DotProduct_i                                                                                                                                                                                 ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 972.6 (972.6)        ; 990.0 (990.0)                    ; 17.4 (17.4)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 1983 (1983)         ; 1688 (1688)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:112:DotProduct_i|MCM:MCM_i                                                                                                                                                                       ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 563.8 (563.8)        ; 802.5 (802.5)                    ; 238.7 (238.7)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 1609 (1609)         ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:112:DotProduct_i|MOA:MOA_i                                                                                                                                                                       ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:113:DotProduct_i|                            ; 918.3 (0.0)          ; 1100.1 (0.0)                     ; 181.8 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 2227 (0)            ; 873 (0)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:113:DotProduct_i                                                                                                                                                                                 ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 532.9 (532.9)        ; 548.3 (548.3)                    ; 15.3 (15.3)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 1099 (1099)         ; 855 (855)                 ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:113:DotProduct_i|MCM:MCM_i                                                                                                                                                                       ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 385.3 (385.3)        ; 551.8 (551.8)                    ; 166.5 (166.5)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 1128 (1128)         ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:113:DotProduct_i|MOA:MOA_i                                                                                                                                                                       ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:114:DotProduct_i|                            ; 1496.5 (0.0)         ; 2102.0 (0.0)                     ; 605.5 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 2623 (0)            ; 1773 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:114:DotProduct_i                                                                                                                                                                                 ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 660.1 (660.1)        ; 901.2 (901.2)                    ; 241.1 (241.1)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 176 (176)           ; 1755 (1755)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:114:DotProduct_i|MCM:MCM_i                                                                                                                                                                       ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 836.4 (836.4)        ; 1200.8 (1200.8)                  ; 364.4 (364.4)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 2447 (2447)         ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:114:DotProduct_i|MOA:MOA_i                                                                                                                                                                       ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:115:DotProduct_i|                            ; 483.6 (0.0)          ; 680.0 (0.0)                      ; 196.4 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 739 (0)             ; 680 (0)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:115:DotProduct_i                                                                                                                                                                                 ; DotProduct      ; work         ;
