; Compilation Hierarchy Node                                                      ; ALMs needed [=A-B+C] ; [A] ALMs used in final placement ; [B] Estimate of ALMs recoverable by dense packing ; [C] Estimate of ALMs unavailable ; ALMs used for memory ; Combinational ALUTs ; Dedicated Logic Registers ; I/O Registers ; Block Memory Bits ; DSP Blocks ; Pins ; Virtual Pins ; Full Hierarchy Name                                                                                                                                                                                                                                       ; Entity Name     ; Library Name ;
;       |maxPool:\generate_maxPool:14:other_maxPool:maxPool_i|                    ; 1672.4 (0.0)         ; 1682.8 (0.0)                     ; 10.4 (0.0)                                        ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 11 (0)              ; 3368 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:14:other_maxPool:maxPool_i                                                                                                                                                                         ; maxPool         ; work         ;
;          |poolH:poolh_inst|                                                     ; 14.4 (14.4)          ; 14.5 (14.5)                      ; 0.1 (0.1)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 5 (5)               ; 24 (24)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:14:other_maxPool:maxPool_i|poolH:poolh_inst                                                                                                                                                        ; poolH           ; work         ;
;          |poolV:poolv_inst|                                                     ; 1657.9 (1657.9)      ; 1668.3 (1668.3)                  ; 10.4 (10.4)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 6 (6)               ; 3344 (3344)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:14:other_maxPool:maxPool_i|poolV:poolv_inst                                                                                                                                                        ; poolV           ; work         ;
;       |maxPool:\generate_maxPool:15:other_maxPool:maxPool_i|                    ; 1672.7 (0.0)         ; 1683.2 (0.0)                     ; 10.4 (0.0)                                        ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 12 (0)              ; 3368 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:15:other_maxPool:maxPool_i                                                                                                                                                                         ; maxPool         ; work         ;
;          |poolH:poolh_inst|                                                     ; 14.8 (14.8)          ; 14.8 (14.8)                      ; 0.1 (0.1)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 5 (5)               ; 24 (24)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:15:other_maxPool:maxPool_i|poolH:poolh_inst                                                                                                                                                        ; poolH           ; work         ;
;          |poolV:poolv_inst|                                                     ; 1657.9 (1657.9)      ; 1668.3 (1668.3)                  ; 10.4 (10.4)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 7 (7)               ; 3344 (3344)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:15:other_maxPool:maxPool_i|poolV:poolv_inst                                                                                                                                                        ; poolV           ; work         ;
;       |maxPool:\generate_maxPool:1:other_maxPool:maxPool_i|                     ; 1671.4 (0.0)         ; 1681.8 (0.0)                     ; 10.4 (0.0)                                        ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 11 (0)              ; 3368 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:1:other_maxPool:maxPool_i                                                                                                                                                                          ; maxPool         ; work         ;
;          |poolH:poolh_inst|                                                     ; 14.4 (14.4)          ; 14.5 (14.5)                      ; 0.1 (0.1)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 5 (5)               ; 24 (24)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:1:other_maxPool:maxPool_i|poolH:poolh_inst                                                                                                                                                         ; poolH           ; work         ;
;          |poolV:poolv_inst|                                                     ; 1656.9 (1656.9)      ; 1667.3 (1667.3)                  ; 10.4 (10.4)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 6 (6)               ; 3344 (3344)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:1:other_maxPool:maxPool_i|poolV:poolv_inst                                                                                                                                                         ; poolV           ; work         ;
;       |maxPool:\generate_maxPool:2:other_maxPool:maxPool_i|                     ; 1670.7 (0.0)         ; 1681.2 (0.0)                     ; 10.4 (0.0)                                        ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 11 (0)              ; 3368 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:2:other_maxPool:maxPool_i                                                                                                                                                                          ; maxPool         ; work         ;
;          |poolH:poolh_inst|                                                     ; 14.4 (14.4)          ; 14.5 (14.5)                      ; 0.1 (0.1)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 5 (5)               ; 24 (24)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:2:other_maxPool:maxPool_i|poolH:poolh_inst                                                                                                                                                         ; poolH           ; work         ;
;          |poolV:poolv_inst|                                                     ; 1656.3 (1656.3)      ; 1666.7 (1666.7)                  ; 10.4 (10.4)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 6 (6)               ; 3344 (3344)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:2:other_maxPool:maxPool_i|poolV:poolv_inst                                                                                                                                                         ; poolV           ; work         ;
;       |maxPool:\generate_maxPool:3:other_maxPool:maxPool_i|                     ; 1672.2 (0.0)         ; 1682.7 (0.0)                     ; 10.4 (0.0)                                        ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 11 (0)              ; 3368 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:3:other_maxPool:maxPool_i                                                                                                                                                                          ; maxPool         ; work         ;
;          |poolH:poolh_inst|                                                     ; 14.4 (14.4)          ; 14.5 (14.5)                      ; 0.1 (0.1)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 5 (5)               ; 24 (24)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:3:other_maxPool:maxPool_i|poolH:poolh_inst                                                                                                                                                         ; poolH           ; work         ;
;          |poolV:poolv_inst|                                                     ; 1657.8 (1657.8)      ; 1668.2 (1668.2)                  ; 10.4 (10.4)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 6 (6)               ; 3344 (3344)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:3:other_maxPool:maxPool_i|poolV:poolv_inst                                                                                                                                                         ; poolV           ; work         ;
;       |maxPool:\generate_maxPool:4:other_maxPool:maxPool_i|                     ; 1670.4 (0.0)         ; 1680.8 (0.0)                     ; 10.4 (0.0)                                        ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 11 (0)              ; 3368 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:4:other_maxPool:maxPool_i                                                                                                                                                                          ; maxPool         ; work         ;
;          |poolH:poolh_inst|                                                     ; 14.4 (14.4)          ; 14.5 (14.5)                      ; 0.1 (0.1)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 5 (5)               ; 24 (24)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:4:other_maxPool:maxPool_i|poolH:poolh_inst                                                                                                                                                         ; poolH           ; work         ;
;          |poolV:poolv_inst|                                                     ; 1655.9 (1655.9)      ; 1666.3 (1666.3)                  ; 10.4 (10.4)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 6 (6)               ; 3344 (3344)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:4:other_maxPool:maxPool_i|poolV:poolv_inst                                                                                                                                                         ; poolV           ; work         ;
;       |maxPool:\generate_maxPool:5:other_maxPool:maxPool_i|                     ; 1669.2 (0.0)         ; 1679.7 (0.0)                     ; 10.4 (0.0)                                        ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 11 (0)              ; 3368 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:5:other_maxPool:maxPool_i                                                                                                                                                                          ; maxPool         ; work         ;
;          |poolH:poolh_inst|                                                     ; 14.4 (14.4)          ; 14.5 (14.5)                      ; 0.1 (0.1)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 5 (5)               ; 24 (24)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:5:other_maxPool:maxPool_i|poolH:poolh_inst                                                                                                                                                         ; poolH           ; work         ;
;          |poolV:poolv_inst|                                                     ; 1654.8 (1654.8)      ; 1665.2 (1665.2)                  ; 10.4 (10.4)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 6 (6)               ; 3344 (3344)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:5:other_maxPool:maxPool_i|poolV:poolv_inst                                                                                                                                                         ; poolV           ; work         ;
;       |maxPool:\generate_maxPool:6:other_maxPool:maxPool_i|                     ; 1672.2 (0.0)         ; 1682.7 (0.0)                     ; 10.4 (0.0)                                        ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 11 (0)              ; 3368 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:6:other_maxPool:maxPool_i                                                                                                                                                                          ; maxPool         ; work         ;
;          |poolH:poolh_inst|                                                     ; 14.4 (14.4)          ; 14.5 (14.5)                      ; 0.1 (0.1)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 5 (5)               ; 24 (24)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:6:other_maxPool:maxPool_i|poolH:poolh_inst                                                                                                                                                         ; poolH           ; work         ;
;          |poolV:poolv_inst|                                                     ; 1657.8 (1657.8)      ; 1668.2 (1668.2)                  ; 10.4 (10.4)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 6 (6)               ; 3344 (3344)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:6:other_maxPool:maxPool_i|poolV:poolv_inst                                                                                                                                                         ; poolV           ; work         ;
;       |maxPool:\generate_maxPool:7:other_maxPool:maxPool_i|                     ; 1671.1 (0.0)         ; 1681.5 (0.0)                     ; 10.4 (0.0)                                        ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 11 (0)              ; 3368 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:7:other_maxPool:maxPool_i                                                                                                                                                                          ; maxPool         ; work         ;
;          |poolH:poolh_inst|                                                     ; 14.4 (14.4)          ; 14.5 (14.5)                      ; 0.1 (0.1)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 5 (5)               ; 24 (24)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:7:other_maxPool:maxPool_i|poolH:poolh_inst                                                                                                                                                         ; poolH           ; work         ;
;          |poolV:poolv_inst|                                                     ; 1656.6 (1656.6)      ; 1667.0 (1667.0)                  ; 10.4 (10.4)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 6 (6)               ; 3344 (3344)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:7:other_maxPool:maxPool_i|poolV:poolv_inst                                                                                                                                                         ; poolV           ; work         ;
;       |maxPool:\generate_maxPool:8:other_maxPool:maxPool_i|                     ; 1672.9 (0.0)         ; 1683.3 (0.0)                     ; 10.4 (0.0)                                        ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 11 (0)              ; 3368 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:8:other_maxPool:maxPool_i                                                                                                                                                                          ; maxPool         ; work         ;
;          |poolH:poolh_inst|                                                     ; 14.4 (14.4)          ; 14.5 (14.5)                      ; 0.1 (0.1)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 5 (5)               ; 24 (24)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:8:other_maxPool:maxPool_i|poolH:poolh_inst                                                                                                                                                         ; poolH           ; work         ;
;          |poolV:poolv_inst|                                                     ; 1658.4 (1658.4)      ; 1668.8 (1668.8)                  ; 10.4 (10.4)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 6 (6)               ; 3344 (3344)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:8:other_maxPool:maxPool_i|poolV:poolv_inst                                                                                                                                                         ; poolV           ; work         ;
;       |maxPool:\generate_maxPool:9:other_maxPool:maxPool_i|                     ; 1672.6 (0.0)         ; 1683.0 (0.0)                     ; 10.4 (0.0)                                        ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 11 (0)              ; 3368 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:9:other_maxPool:maxPool_i                                                                                                                                                                          ; maxPool         ; work         ;
;          |poolH:poolh_inst|                                                     ; 14.4 (14.4)          ; 14.5 (14.5)                      ; 0.1 (0.1)                                         ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 5 (5)               ; 24 (24)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:9:other_maxPool:maxPool_i|poolH:poolh_inst                                                                                                                                                         ; poolH           ; work         ;
;          |poolV:poolv_inst|                                                     ; 1658.1 (1658.1)      ; 1668.5 (1668.5)                  ; 10.4 (10.4)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 6 (6)               ; 3344 (3344)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|PoolLayer:pool1|maxPool:\generate_maxPool:9:other_maxPool:maxPool_i|poolV:poolv_inst                                                                                                                                                         ; poolV           ; work         ;
+---------------------------------------------------------------------------------+----------------------+----------------------------------+---------------------------------------------------+----------------------------------+----------------------+---------------------+---------------------------+---------------+-------------------+------------+------+--------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+--------------+
